CharacterName,Class,Lev,StageIdx,PositionX,PositionY
player151,5,25,102003010,-6661.48,-13754.2
player152,2,1,100002010,5776.2,-7270.35
player153,3,3,100002010,3154.38,-2182.25
player154,2,9,101003010,9743.21,-2548.81
player155,5,1,100002010,7363.11,9757.17
player156,2,1,100002010,10330,-6740
player157,3,7,101003010,-368.651,20981
player158,1,3,100002010,1758.36,9751.07
player159,1,2,100002010,682.697,-2540.45
player160,1,24,102003010,-3248.56,-20399.7
player161,4,1,100002010,10330,-6740
player162,4,2,100002010,-4233.72,-5361.33
player163,1,23,101004020,-8249.96,-3772.15
player164,5,7,101003010,19059.6,15144.9
player165,5,11,101003010,-6963.23,-19198.1
player166,4,3,100002010,-7465.06,-11708.9
player167,1,30,101001010,-1128.29,1083.09
player168,5,1,102004010,-15798.5,-18225.8
player169,1,1,100002010,2820,-3750
player170,3,4,100002010,3076.19,-3680.36
player171,4,4,100002012,-4618.34,1703.93
player172,1,2,100002010,-14854.8,-11416.8
player173,4,2,100002010,-13726,-10863.5
player174,4,4,100002020,-4303.14,-9768.03
player175,1,7,103003010,-16646.2,-12917.9
player176,1,50,103003020,-10115,-8890
player177,2,4,100002012,-7418.39,8876.85
player178,3,24,102003010,-16292.7,-18699.1
player179,5,5,100002020,-1604.76,3177.69
player180,2,1,100002010,3136.98,9173.53
player181,3,11,101003010,16780.7,-5995.95
player182,1,30,100002010,8584.81,-10644.8
player183,2,1,100002010,-787.114,-2489.53
player184,3,1,101003040,-2824.6,-4074.52
player185,3,101,101003030,-4928.98,-24335.7
player186,3,50,101003010,-10195.1,3293.25
player187,3,4,100002012,-260.735,-2649.58
player188,1,5,100002012,-1153.02,-3000.62
player189,1,4,100002010,7640.26,7383.33
player190,1,20,101003010,21505.7,-24124.2
player191,1,20,101003010,-17437.2,20614
player192,1,20,101003010,3600,12220
player193,2,20,101003010,-2254.26,18536.2
player194,2,20,101003010,-516.348,20776
player195,2,20,101003010,-562.922,21035
player196,3,20,101003010,-13775.5,17732.1
player197,1,20,101003010,16210.1,19273.2
player198,3,20,101003010,-16778.7,19806.7
player199,3,20,101003010,18957.9,4093.2
player200,5,11,102003010,-3157.55,-20690.8
player201,3,100,101003030,769.955,-13014.2
player202,5,3,100002010,-967.203,12178.8
player203,1,15,101003010,-78.1063,22795.4
player204,3,1,100002010,10330,-6740
player205,4,1,100002010,10330,-6740
player206,3,60,100002010,10330,-6740
player207,4,4,100002010,-1305.36,7458.82
player208,3,1,100002010,10330,-6740
player209,4,1,100002010,10330,-6740
player210,4,1,100002010,2820,-3750
player211,1,23,100002010,10219.4,-6916.11
player212,1,1,100002010,2820,-3750
player213,2,4,101003030,1203.13,-12988.6
player214,2,1,100002010,10330,-6740
player215,5,30,100002010,9666.92,-7010.78
player216,2,1,100002010,10330,-6740
player217,1,60,201003010,-15935,7711.16
player218,2,1,100002010,10330,-6740
player219,2,1,100002010,10330,-6740
player220,5,60,100002020,-842.669,-13144.1
player221,1,1,100002010,10330,-6740
player222,4,30,101005040,4215.38,-6985.38
player223,1,1,100002010,-1810,290
player224,2,1,100002010,10330,-6740
player225,1,1,100002010,-1552.14,125.615
player226,4,1,100002010,11050.4,-6457.15
player227,1,1,100002010,7929.87,-9535.95
player228,1,1,100002010,10404.7,-6575.1
player229,1,1,100002010,10024.2,-6425.98
player230,2,1,100002010,10625.4,-6959.5
player231,3,1,100002010,9551.89,-7527.64
player232,1,1,100002010,10351.6,-6898.59
player233,1,1,100002010,-518,12230
player234,5,1,100002010,10330,-6740
player235,2,1,100002010,2820,-3750
player236,1,2,101003030,-6427.66,-28815
player237,1,80,101003010,1350.82,-6565.06
player238,4,1,101004010,-21088.8,2457.84
player239,1,101,101003010,1113.2,-5428.14
player240,3,1,100002010,1532.97,4786.13
player241,1,1,100002010,2820,-3750
player242,1,1,100002010,9333.23,-9437.18
player243,1,1,100002010,2820,-3750
player244,3,1,100002010,2820,-3750
player245,2,1,100002010,-1810,290
player246,1,30,100002020,-1408.54,-4597.03
player247,4,1,100002010,10330,-6740
player248,1,31,102004040,-4852.33,-2480.4
player249,5,10,101003010,19646.5,-24160.9
player250,4,26,101003030,-16284.9,-7885.02
player251,5,25,101003010,-2400.78,17896.9
player252,3,1,100002010,2820,-3750
player253,5,14,101003010,-2040,17950
player254,2,1,100002010,-1810,290
player255,3,19,101003030,-1046.49,-34448.2
player256,1,1,100002010,-1810,290
player257,4,11,101003010,-2423.55,-8753.08
player258,2,24,101004040,-13026.9,8743.01
player259,3,19,101004020,-7236.74,6531.84
player260,4,21,201003010,-18433.4,17516.8
player261,2,23,101004040,-11129,6566.41
player262,4,14,101005040,5564.25,-877.774
player263,3,14,101005040,3683.76,4374.92
player264,4,12,101003020,-3092.01,-3271.23
player265,5,20,101003030,4818.36,-32426.5
player266,1,20,101003010,-18305.5,-10829.9
player267,5,2,100002010,-14843.4,-11296.5
player268,5,25,201003010,6264.1,-11424.4
player269,1,22,101004030,-13881.5,8608.77
player270,1,27,101003030,-29748.5,-30473.8
player271,1,1,100002010,2820,-3750
player272,4,14,101005040,5780,-620
player273,1,30,101005010,65.6219,2366.66
player274,2,4,100002012,-1525.17,188.937
player275,3,5,100002020,-788.398,-9875.36
player276,4,2,101003010,-3395.23,19640.1
player277,3,6,101003010,12633.3,18130.3
player278,1,30,100002010,10330,-6740
player279,2,30,101003010,-7682.75,-6975.61
player280,5,10,101003010,22381.5,4986.64
player281,1,1,100002010,10330,-6740
player282,1,30,101003010,18980.1,19109.5
player283,1,30,101003010,12032.8,17373.2
player284,2,30,101003010,5084.52,9225.79
player285,3,30,101003010,-348,21159
player286,4,30,101003010,3100.76,19534.8
player287,5,30,101003010,-1340.41,20144
player288,3,10,101003010,22399.6,-26782.3
player289,3,6,101003010,-4807.99,19772.6
player290,3,30,101003010,-314.356,20823.9
player291,2,15,101003020,3057.2,4101.28
player292,1,11,101003030,-5887.73,-32416.6
player293,2,30,101001010,-1898.79,3809.19
player294,4,30,101003010,4703.74,11074
player295,3,30,100002020,790,-11320
player296,1,29,101003030,-18218.3,-27222.4
player297,5,30,101003010,-2307.98,-8747.48
player298,4,30,101003010,3600,12220
player299,5,30,101003010,-580.205,21012.2
player300,1,1,100002010,4152.64,-4407.83
player301,1,20,101003010,-6078.15,-9114.57
player302,2,8,101003010,6985.46,9467.36
player303,3,21,201003010,-15822.4,5482.27
player304,2,13,101005040,-1240,-3000
player305,1,25,101003010,10843.4,-4433.75
player306,5,50,100002010,3071.63,-1955.56
player307,3,15,101003030,-3677.56,-25319.7
player308,2,9,101003010,-535.953,-8134.87
player309,4,5,100002020,-944.8,-1296.94
player310,2,12,101003020,2139.98,-3034.18
player311,4,1,100002020,-1170.17,528.237
player312,1,1,100002010,10330,-6740
player313,5,1,100002010,10330,-6740
player314,1,100,101003010,2964.91,-3323.57
player315,2,1,100002010,10330,-6740
player316,1,100,100002010,10330,-6740
player317,1,100,101003010,10069.9,17695.6
player318,2,1,100002010,10330,-6740
player319,2,99,101003030,12284,-42539
player320,1,2,100002010,650,-2610
player321,4,1,100002020,-956.664,-1296.1
player322,1,2,100002010,-14832.9,-11383.3
player323,1,1,101003010,-7328.12,19208.2
player324,5,6,101003010,151.84,-7835.38
player325,4,1,100002020,-956.336,-1301.36
player326,5,6,101003010,18455.2,18737
player327,3,8,101003010,3303.43,-4864.58
player328,4,1,100002012,-8485.75,3689.84
player329,1,1,100002010,-8616.9,3696.71
player330,4,100,101003010,-2330.96,17820.5
player331,1,100,101003010,706.146,-7456.78
player332,2,13,101005040,5780,-620
player333,2,15,100002020,996.36,4952.6
player334,2,88,101003010,26.3384,-2861.08
player335,5,1,100002010,-1810,290
player336,1,100,101003010,-3156.19,-8985.05
player337,2,1,100002010,8638.58,-10383.4
player338,4,1,100002010,136.842,-1399.36
player339,2,20,101003010,17342.1,16066.6
player340,4,15,101001010,-6125.58,-884.179
player341,2,1,100002010,8644.02,-10372.5
player342,5,1,100002010,4157.34,-4714.63
player343,3,3,100002010,143.131,4515.51
