date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:09:15	24024/24024	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:09:15%20GMT	https://mir2.mironline.co.kr/community/mir2test	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/community/mir2test.html	(from https://mir2.mironline.co.kr/main)
19:09:16	26964/26964	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:09:15%20GMT	https://mir2.mironline.co.kr/pds/clientdownload	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/pds/clientdownload.html	(from https://mir2.mironline.co.kr/main)
19:09:16	27037/27037	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:09:16%20GMT	https://mir2.mironline.co.kr/guide/movieList	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/guide/movieList.html	(from https://mir2.mironline.co.kr/main)
19:09:16	29713/29713	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:09:16%20GMT	https://mir2.mironline.co.kr/guide/galleryList	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/guide/galleryList.html	(from https://mir2.mironline.co.kr/main)
19:09:17	35721/35721	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:09:16%20GMT	https://mir2.mironline.co.kr/hwan/store	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/hwan/store.html	(from https://mir2.mironline.co.kr/main)
19:09:19	16314/16314	---M--	200	added ('OK')	image/png	etag:%22912ea5e9ad1da1:0%22	https://web-cdn.mironline.co.kr/mir2/2013_grand/common/mir2_grade.png?v=20240709	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/common/mir2_grade20f7.png	(from https://mir2.mironline.co.kr/main)
19:09:20	2777/2777	---M--	200	added ('OK')	image/jpeg	etag:%2296347c6f6dad41:0%22	https://web-cdn.mironline.co.kr/mir2/2013_grand/contents/title_login.jpg	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/contents/title_login.jpg	(from https://mir2.mironline.co.kr/main)
19:09:20	5225/5225	---M--	200	added ('OK')	image/jpeg	etag:%2268924ac8f6dad41:0%22	https://web-cdn.mironline.co.kr/mir2/2013_grand/contents/btn_login.jpg	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/contents/btn_login.jpg	(from https://mir2.mironline.co.kr/main)
19:09:21	22823/22823	---M--	200	added ('OK')	image/jpeg	etag:%22f36962c8f6dad41:0%22	https://web-cdn.mironline.co.kr/mir2/2013_grand/contents/btn_gamedown.jpg	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/contents/btn_gamedown.jpg	(from https://mir2.mironline.co.kr/main)
19:09:25	24016/24016	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:09:22%20GMT	https://mir2.mironline.co.kr/community/mir2notice	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/community/mir2notice.html	(from https://mir2.mironline.co.kr/main)
19:09:26	2167/2167	---M--	200	added ('OK')	image/png	etag:%223dbac8d3f6dad41:0%22	https://web-cdn.mironline.co.kr/mir2/2013_grand/main/title_new.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/title_new.png	(from https://mir2.mironline.co.kr/main)
